municipality	province	latitude	longitude	surface_km2	population	avg_household_income_2012	avg_woz_2014	university
Bergen (NH.)	Noord-Holland	52.674.937	4.706.395	119.46	30075	39400	349000	0
Bergen op Zoom	Noord-Brabant	51.494.576	4.287.162	93.13	66423	33600	195000	0
Berkelland	Gelderland	52.115.157	6.561.501	260.53	44650	34700	205000	0
Bernheze	Noord-Brabant	51.660.272	5.501.401	90.41	29703	38500	278000	0
Best	Noord-Brabant	51.507.764	5.397.848	35.1	28594	39100	262000	0
Beuningen	Gelderland	51.859.724	5.769.107	47.09	25254	37400	231000	0
Beverwijk	Noord-Holland	52.486.984	4.657.447	20.09	40052	32500	178000	0
De Bilt	Utrecht	52.109.272	5.180.968	67.13	42013	43100	338000	0
Binnenmaas	Zuid-Holland	51.796.188	4.548.157	75.57	28682	39300	231000	0
Bladel	Noord-Brabant	51.362.963	5.213.639	75.62	19825	37200	272000	0
Blaricum	Noord-Holland	52.272.669	5.248.080	15.56	9112	51600	536000	0
Bloemendaal	Noord-Holland	52.404.947	4.620.185	45.18	22077	55600	549000	0
Bodegraven-Reeuwijk	Zuid-Holland	52.082.326	4.746.084	88.64	32986	41200	275000	0
Boekel	Noord-Brabant	51.602.879	5.674.316	34.52	10089	37300	260000	0
Ten Boer	Groningen	53.275.888	6.692.600	45.73	7465	34600	174000	0
Borger-Odoorn	Drenthe	52.889.372	6.888.404	277.89	25633	33100	180000	0
Borne	Overijssel	52.300.237	6.753.726	26.16	21901	36300	207000	0
Borsele	Zeeland	51.447.691	3.803.318	194.52	22592	36200	209000	0
Boxmeer	Noord-Brabant	51.645.269	5.956.666	113.84	28135	37100	251000	0
Boxtel	Noord-Brabant	51.601.437	5.312.177	64.85	30325	35800	244000	0
Breda	Noord-Brabant	51.571.915	4.768.323	128.68	179999	35200	221000	0
Brielle	Zuid-Holland	51.902.582	4.163.685	31.14	16306	38100	225000	0
Bronckhorst	Gelderland	52.075.595	6.180.892	286.42	36941	36200	257000	0
Brummen	Gelderland	52.090.167	6.158.015	85.01	21169	35600	240000	0
Brunssum	Limburg	50.948.896	5.972.166	17.34	28914	29400	133000	0
Bunnik	Utrecht	52.066.528	5.200.776	37.57	14619	42600	271000	0
Bunschoten	Utrecht	52.240.642	5.367.070	34.81	20547	39400	250000	0
Buren	Gelderland	51.910.389	5.334.058	142.92	25995	39500	282000	0
Capelle aan den IJssel	Zuid-Holland	51.938.073	4.591.778	15.4	66177	34700	176000	0
Castricum	Noord-Holland	52.545.259	4.672.735	60.37	34244	40200	259000	0
Coevorden	Drenthe	52.661.357	6.741.062	299.69	35771	33200	191000	0
Cranendonck	Noord-Brabant	51.286.922	5.596.695	78.05	20388	36600	241000	0
Cromstrijen	Zuid-Holland	51.736.089	4.460.849	70.33	12748	39400	238000	0
Cuijk	Noord-Brabant	51.728.927	5.879.209	57.07	24780	34200	212000	0
Culemborg	Gelderland	51.956.108	5.240.045	31.14	27579	36300	220000	0
Dalfsen	Overijssel	52.507.755	6.259.667	166.52	27655	37000	255000	0
Dantumadiel	Friesland	53.272.981	5.985.930	87.53	19035	31500	168000	0
Delft	Zuid-Holland	52.011.577	4.357.068	24.06	101493	32100	181000	1
Delfzijl	Groningen	53.331.027	6.924.460	227.5	25686	30600	132000	0
Deurne	Noord-Brabant	51.464.220	5.795.068	118.36	31669	36000	254000	0
Deventer	Overijssel	52.266.075	6.155.217	134.33	98327	32800	191000	0
Diemen	Noord-Holland	52.338.993	4.959.189	14.04	25980	35200	202000	0
Dinkelland	Overijssel	52.407.617	6.897.260	176.82	25937	38300	248000	0
Doesburg	Gelderland	52.014.288	6.139.782	12.96	11449	32100	190000	0
Doetinchem	Gelderland	51.964.699	6.293.774	79.66	56350	33200	194000	0
Dongen	Noord-Brabant	51.628.710	4.938.239	29.72	25389	35900	226000	0
Dongeradeel	Friesland	53.324.884	5.996.639	266.92	24183	30400	149000	0
Dordrecht	Zuid-Holland	51.813.298	4.690.093	99.47	118716	32600	159000	0
Drechterland	Noord-Holland	52.653.307	5.183.589	80.74	19257	37600	231000	0
Drimmelen	Noord-Brabant	51.708.552	4.803.490	119.43	26705	38000	234000	0
Dronten	Flevoland	52.534.682	5.721.809	423.89	40451	34800	195000	0
Druten	Gelderland	51.894.084	5.594.272	42.46	18206	36200	230000	0
Duiven	Gelderland	51.947.458	6.017.950	35.19	25580	36200	210000	0
Echt-Susteren	Limburg	51.093.224	5.907.364	104.53	31940	34100	192000	0
Edam-Volendam	Noord-Holland	52.504.541	5.045.998	24.78	28934	40600	238000	0
Ede	Gelderland	52.040.168	5.664.859	318.62	110657	36400	233000	0
Eemnes	Utrecht	52.253.746	5.261.275	33.7	8773	40100	291000	0
Eemsmond	Groningen	53.400.344	6.648.410	543.35	15910	30700	154000	0
Eersel	Noord-Brabant	51.357.808	5.315.912	83.33	18201	39500	298000	0
Eijsden-Margraten	Limburg	50.819.960	5.821.457	78.32	24980	38200	237000	0
Eindhoven	Noord-Brabant	51.441.642	5.469.722	88.87	220782	32000	209000	1
Elburg	Gelderland	52.449.263	5.834.519	65.91	22658	35200	240000	0
Emmen	Drenthe	52.713.237	6.955.777	346.25	108003	30700	156000	0
Enkhuizen	Noord-Holland	52.707.566	5.274.120	116.25	18395	32700	180000	0
Enschede	Overijssel	52.221.537	6.893.662	142.72	158542	29600	155000	1
Epe	Gelderland	52.345.017	5.983.654	157.37	32352	35600	266000	0
Ermelo	Gelderland	52.298.665	5.629.619	87.33	26080	36300	262000	0
Etten-Leur	Noord-Brabant	51.586.886	4.667.138	55.92	42351	35600	224000	0
Ferwerderadiel	Friesland	53.337.834	5.823.835	133.18	8771	31800	148000	0
De Fryske Marren	Friesland	52.948.003	5.791.388	559.93	51223			0
Geertruidenberg	Noord-Brabant	51.702.366	4.849.978	29.64	21597	35600	204000	0
Geldermalsen	Gelderland	51.884.365	5.229.359	101.73	26339	39500	278000	0
Geldrop-Mierlo	Noord-Brabant	51.432.447	5.582.970	31.39	38854	35400	233000	0
Gemert-Bakel	Noord-Brabant	51.555.289	5.690.366	123.34	29354	35500	244000	0
Gennep	Limburg	51.697.854	5.972.675	50.42	17285	34500	215000	0
Giessenlanden	Zuid-Holland	51.865.735	4.924.345	65.11	14423	41700	281000	0
Gilze en Rijen	Noord-Brabant	51.559.855	4.909.254	65.66	26013	35700	233000	0
Goeree-Overflakkee	Zuid-Holland	51.759.197	4.116.981	422.34	48233	36500	220000	0
Goes	Zeeland	51.504.646	3.891.130	101.92	36977	33600	198000	0
Goirle	Noord-Brabant	51.523.677	5.064.195	42.34	23060	38100	251000	0
Gooise Meren	Noord-Holland	52.304.762	5.139.699	73.5	56687			0
Gorinchem	Zuid-Holland	51.837.225	4.975.829	21.93	35252	34000	194000	0
Gouda	Zuid-Holland	52.011.521	4.710.463	18.11	70923	35000	182000	0
Grave	Noord-Brabant	51.759.005	5.738.560	28.03	12696	35300	215000	0
's-Gravenhage	Zuid-Holland	52.070.498	4.300.700	98.12	508592	31800	188000	0
Groningen	Groningen	53.219.383	6.566.502	83.75	198108	28500	157000	1
Grootegast	Groningen	53.211.132	6.274.589	87.74	12193	32500	192000	0
Gulpen-Wittem	Limburg	50.800.934	5.897.288	73.35	14492	35200	204000	0
Haaksbergen	Overijssel	52.160.665	6.738.100	105.5	24357	35600	215000	0
Haaren	Noord-Brabant	51.602.133	5.226.712	58.56	13578	40800	332000	0
Haarlem	Noord-Holland	52.387.388	4.646.219	32.09	155205	34300	229000	0
Haarlemmerliede en Spaarnwoude	Noord-Holland	52.414.352	4.692.848	21.19	5547	40300	267000	0
Haarlemmermeer	Noord-Holland	52.300.378	4.674.359	185.29	144166	39700	248000	0
Halderberge	Noord-Brabant	51.586.263	4.513.956	75.21	29379	36200	232000	0
Hardenberg	Overijssel	52.575.408	6.616.695	317.14	59592	34000	197000	0
Harderwijk	Gelderland	52.342.202	5.636.742	48.27	45741	34800	215000	0
Hardinxveld-Giessendam	Zuid-Holland	51.832.430	4.833.641	19.35	17736	37500	225000	0
Haren	Groningen	53.171.826	6.605.243	50.73	18790	41300	261000	0
Harlingen	Friesland	53.174.638	5.425.152	387.67	15810	30100	153000	0
Hattem	Gelderland	52.473.931	6.068.176	24.16	11742	37700	253000	0
Heemskerk	Noord-Holland	52.514.146	4.682.137	31.67	39092	35600	212000	0
Heemstede	Noord-Holland	52.351.063	4.620.300	9.64	26320	47600	370000	0
Heerde	Gelderland	52.390.918	6.049.638	80.42	18515	36200	254000	0
Heerenveen	Friesland	52.960.561	5.920.522	187.76	49388	32600	183000	0
Heerhugowaard	Noord-Holland	52.662.677	4.832.477	39.99	53246	35300	203000	0
Heerlen	Limburg	50.888.174	5.979.499	45.53	88202	28200	123000	0
Heeze-Leende	Noord-Brabant	51.360.442	5.598.460	105.04	15376	40200	312000	0
Heiloo	Noord-Holland	52.601.234	4.700.493	19.01	22626	40200	288000	0
Den Helder	Noord-Holland	52.956.281	4.760.797	178.8	56553	30400	147000	0
Hellendoorn	Overijssel	52.376.905	6.459.724	138.99	35697	34700	224000	0
Hellevoetsluis	Zuid-Holland	51.831.863	4.131.810	46.27	38918	36500	195000	0
Helmond	Noord-Brabant	51.479.255	5.657.010	54.75	89346	32900	206000	0
Hendrik-Ido-Ambacht	Zuid-Holland	51.842.397	4.639.506	11.9	28952	39100	215000	0
Hengelo	Overijssel	52.257.412	6.792.772	61.83	80975	32200	168000	0
's-Hertogenbosch	Noord-Brabant	51.711.742	5.301.631	91.79	143745	34900	221000	0
Heumen	Gelderland	51.764.532	5.843.150	41.54	16342	40000	273000	0
Heusden	Noord-Brabant	51.733.004	5.138.279	81.22	43180	37200	266000	0
Hillegom	Zuid-Holland	52.295.626	4.579.176	13.48	20987	36000	227000	0
Hilvarenbeek	Noord-Brabant	51.465.175	5.151.090	96.49	15082	39400	294000	0
Hilversum	Noord-Holland	52.229.170	5.166.897	46.35	86574	36400	253000	0
Hof van Twente	Overijssel	52.241.427	6.591.555	215.41	34987	36300	229000	0
Hollands Kroon	Noord-Holland	52.811.859	5.001.190	662.2	47501	34900	206000	0
Hoogeveen	Drenthe	52.728.616	6.490.100	129.25	54680	31200	164000	0
Hoorn	Noord-Holland	52.642.365	5.060.212	53.25	71741	33800	186000	0
Horst aan de Maas	Limburg	51.423.226	6.030.317	191.92	41718	36600	237000	0
Houten	Utrecht	52.002.991	5.185.760	58.99	48427	42900	261000	0
Huizen	Noord-Holland	52.299.465	5.243.393	23.32	41239	38900	268000	0
Hulst	Zeeland	51.280.691	4.054.887	251.82	27402	34300	182000	0
IJsselstein	Utrecht	52.017.765	5.040.300	21.68	34268	39300	234000	0
Kaag en Braassem	Zuid-Holland	52.204.135	4.631.315	72.24	25758	39900	267000	0
Kampen	Overijssel	52.557.964	5.914.462	161.79	51069	33200	197000	0
Kapelle	Zeeland	51.484.755	3.959.631	49.63	12508	37800	220000	0
Katwijk	Zuid-Holland	52.198.020	4.419.943	31.13	62825	36500	249000	0
Kerkrade	Limburg	50.865.946	6.070.549	22.13	46773	28500	130000	0
Koggenland	Noord-Holland	52.652.196	4.942.015	84.13	22473	37200	232000	0
Kollumerland en Nieuwkruisland	Friesland	53.305.888	6.189.109	116.35	12856	31100	167000	0
Korendijk	Zuid-Holland	51.810.961	4.342.386	100.47	10693	39000	236000	0
Krimpen aan den IJssel	Zuid-Holland	51.914.353	4.596.233	8.95	28814	37700	218000	0
Krimpenerwaard	Zuid-Holland	51.982.222	4.781.667	161.3	54287			0
Laarbeek	Noord-Brabant	51.538.447	5.621.273	56.17	21815	36100	253000	0
Landerd	Noord-Brabant	51.726.775	5.659.492	70.71	15262	38500	267000	0
Landgraaf	Limburg	50.892.765	6.022.408	24.66	37530	31400	150000	0
Landsmeer	Noord-Holland	52.440.338	4.920.923	26.5	10457	41700	280000	0
Langedijk	Noord-Holland	52.686.711	4.783.899	27.03	26984	38300	257000	0
Lansingerland	Zuid-Holland	51.998.714	4.516.263	56.37	57188	43900	268000	0
Laren	Noord-Holland	52.256.817	5.224.155	12.41	10846	50800	541000	0
Leek	Groningen	53.161.611	6.390.616	64.28	19607	32800	183000	0
Leerdam	Zuid-Holland	51.894.313	5.096.927	34.42	20586	34600	211000	0
Leeuwarden	Friesland	53.201.233	5.799.913	166.99	108113	28700	135000	0
Leiden	Zuid-Holland	52.160.114	4.497.010	23.27	121199	34000	210000	1
Leiderdorp	Zuid-Holland	52.150.985	4.528.173	12.28	26788	39100	239000	0
Leidschendam-Voorburg	Zuid-Holland	52.087.731	4.399.385	35.62	73392	37100	232000	0
Lelystad	Flevoland	52.518.537	5.471.422	765.45	76170	32500	165000	0
Leudal	Limburg	51.261.966	5.890.997	164.89	36213	36500	213000	0
Leusden	Utrecht	52.131.793	5.429.469	58.89	28967	41000	267000	0
Lingewaal	Gelderland	51.838.089	5.076.384	54.49	11059	39000	267000	0
Lingewaard	Gelderland	51.903.891	5.935.221	69.14	45814	36000	231000	0
Lisse	Zuid-Holland	52.257.930	4.557.483	16.05	22376	36600	251000	0
Lochem	Gelderland	52.158.665	6.409.816	215.94	33268	38500	282000	0
Loon op Zand	Noord-Brabant	51.627.014	5.072.009	50.71	23104	36600	242000	0
Lopik	Utrecht	51.974.861	4.945.148	78.98	14000	39500	267000	0
Loppersum	Groningen	53.332.175	6.747.987	111.99	10181	32400	153000	0
Losser	Overijssel	52.262.852	7.005.785	99.61	22619	34100	206000	0
Maasdriel	Gelderland	51.768.907	5.323.304	75.46	24197	37600	266000	0
Maasgouw	Limburg	51.167.805	5.884.140	57.99	23888	35100	202000	0
Maassluis	Zuid-Holland	51.922.607	4.254.566	10.12	32097	34200	187000	0
Maastricht	Limburg	50.851.368	5.690.973	60.03	122331	30400	178000	1
De Marne	Groningen	53.360.934	6.380.521	240.33	10205	30500	145000	0
Marum	Groningen	53.146.252	6.267.326	64.89	10350	34200	215000	0
Medemblik	Noord-Holland	52.767.447	5.106.918	257.56	43331	35600	219000	0
Meerssen	Limburg	50.884.943	5.752.637	27.64	19259	35600	226000	0
Meierijstad	Noord-Brabant	51.613.704	5.548.213	185.52				0
Meppel	Drenthe	52.692.123	6.193.719	57.03	32875	32700	190000	0
Middelburg	Zeeland	51.498.796	3.610.998	53.04	47660	33000	177000	0
Midden-Delfland	Zuid-Holland	51.954.201	4.288.310	49.38	18449	42700	280000	0
Midden-Drenthe	Drenthe	52.861.104	6.512.304	345.87	33368	34600	202000	0
Midden-Groningen	Groningen	53.214.825	6.503.424					0
Mill en Sint Hubert	Noord-Brabant	51.679.806	5.755.381	53.17	10843	36300	256000	0
Moerdijk	Noord-Brabant	51.660.156	4.513.072	184.03	36775	36600	215000	0
Molenwaard	Zuid-Holland	51.892.130	4.798.340	126.47	29043	40300	245000	0
Montferland	Gelderland	51.919.617	6.246.311	106.63	34985	34100	208000	0
Montfoort	Utrecht	52.036.213	4.951.859	38.2	13639	41200	264000	0
Mook en Middelaar	Limburg	51.751.230	5.881.630	18.81	7783	40400	276000	0
Neder-Betuwe	Gelderland	51.930.937	5.574.103	68.16	22591	37300	220000	0
Nederweert	Limburg	51.286.563	5.752.701	101.78	16773	36100	237000	0
Neerijnen	Gelderland	51.831.902	5.279.356	72.9	12022	39900	271000	0
Nieuwegein	Utrecht	52.024.821	5.091.819	25.65	61017	35200	206000	0
Nieuwkoop	Zuid-Holland	52.150.056	4.777.359	91.16	27114	38800	271000	0
Nijkerk	Gelderland	52.222.484	5.483.563	72.1	40600	37800	263000	0
Nijmegen	Gelderland	51.812.563	5.837.226	57.6	168499	30900	191000	1
Nissewaard	Zuid-Holland	51.848.034	4.328.748	98.74	85083			0
Noord-Beveland	Zeeland	51.570.283	3.771.484	121.51	7508	32900	199000	0
Noordenveld	Drenthe	53.095.093	6.445.541	205.32	31110	34800	215000	0
Noordoostpolder	Flevoland	52.692.622	5.737.842	595.43	46372	32900	176000	0
Noordwijk	Zuid-Holland	52.239.989	4.450.009	51.45	25689	38300	328000	0
Noordwijkerhout	Zuid-Holland	52.260.194	4.495.584	23.42	15982	36600	266000	0
Nuenen, Gerwen en Nederwetten	Noord-Brabant	51.478.251	5.556.858	33.94	22596	41000	298000	0
Nunspeet	Gelderland	52.374.772	5.769.895	129.53	26707	36600	261000	0
Nuth	Limburg	50.911.427	5.892.596	33.13	15577	35900	198000	0
Oegstgeest	Zuid-Holland	52.186.226	4.474.810	7.97	22855	45500	320000	0
Oirschot	Noord-Brabant	51.504.448	5.308.463	102.84	17989	39800	312000	0
Oisterwijk	Noord-Brabant	51.565.424	5.203.028	65.13	25835	38200	317000	0
Oldambt	Groningen	53.203.691	7.052.970	295.96	38558	29300	133000	0
Oldebroek	Gelderland	52.447.445	5.898.317	98.84	22824	35500	235000	0
Oldenzaal	Overijssel	52.311.655	6.926.828	21.95	32152	34000	201000	0
Olst-Wijhe	Overijssel	52.351.896	6.127.076	118.37	17760	35500	227000	0
Ommen	Overijssel	52.506.652	6.435.289	182.01	17370	35000	242000	0
Onderbanken	Limburg	50.969.852	5.965.396	21.24	7882	32900	168000	0
Oost Gelre	Gelderland	51.990.117	6.567.068	110.12	29648	35100	198000	0
Oosterhout	Noord-Brabant	51.641.020	4.861.690	73.09	53733	35800	225000	0
Ooststellingwerf	Friesland	52.988.319	6.270.427	226.11	25672	31400	180000	0
Oostzaan	Noord-Holland	52.440.497	4.875.722	16.08	9154	39300	265000	0
Opmeer	Noord-Holland	52.705.379	4.942.667	41.94	11374	36700	233000	0
Opsterland	Friesland	53.039.542	6.115.320	227.64	29894	33800	191000	0
Oss	Noord-Brabant	51.761.180	5.514.048	159.87	85039	34900	213000	0
Oud-Beijerland	Zuid-Holland	51.818.930	4.427.236	19.61	23727	39400	227000	0
Oude IJsselstreek	Gelderland	51.911.046	6.405.564	137.94	39614	32500	198000	0
Ouder-Amstel	Noord-Holland	52.285.929	4.913.383	25.78	13255	43200	294000	0
Oudewater	Utrecht	52.024.163	4.868.417	40.1	9868	39600	283000	0
Overbetuwe	Gelderland	51.932.775	5.781.465	115.08	46653	37300	235000	0
Papendrecht	Zuid-Holland	51.842.481	4.694.183	10.79	32140	36500	190000	0
Peel en Maas	Limburg	51.339.919	6.012.298	161.35	43298	36200	229000	0
Pekela	Groningen	53.085.241	6.977.881	50.2	12733	28400	132000	0
Pijnacker-Nootdorp	Zuid-Holland	52.012.698	4.427.355	38.61	51068	42300	268000	0
Purmerend	Noord-Holland	52.514.381	4.964.061	24.56	79552	34400	189000	0
Putten	Gelderland	52.245.301	5.568.482	87.41	24044	37900	292000	0
Raalte	Overijssel	52.380.903	6.278.318	172.29	36526	36000	238000	0
Reimerswaal	Zeeland	51.410.002	4.154.448	242.42	21915	34900	188000	0
Renkum	Gelderland	51.982.983	5.739.978	47.23	31577	38200	253000	0
Renswoude	Utrecht	52.074.661	5.538.173	18.51	4928	39200	281000	0
Reusel-De Mierden	Noord-Brabant	51.370.650	5.146.555	78.64	12728	37900	270000	0
Rheden	Gelderland	52.005.737	6.027.959	84.35	43563	33600	204000	0
Rhenen	Utrecht	51.962.140	5.571.116	43.76	19123	37100	255000	0
Ridderkerk	Zuid-Holland	51.870.253	4.602.234	25.26	45207	34700	194000	0
Rijssen-Holten	Overijssel	52.292.506	6.439.999	94.38	37696	36200	220000	0
Rijswijk	Zuid-Holland	52.037.698	4.321.974	14.49	47680	33100	183000	0
Roerdalen	Limburg	51.139.166	6.034.269	88.7	20808	35000	198000	0
Roermond	Limburg	51.191.320	5.987.772	71.1	57030	31500	174000	0
De Ronde Venen	Utrecht	52.206.680	4.886.773	116.98	42648	42700	300000	0
Roosendaal	Noord-Brabant	51.535.849	4.465.321	107.16	76930	33900	204000	0
Rotterdam	Zuid-Holland	51.924.420	4.477.733	325.79	618467	29600	148000	1
Rozendaal	Gelderland	52.009.785	5.966.507	27.92	1500	56800	462000	0
Rucphen	Noord-Brabant	51.533.567	4.560.320	64.47	22213	35300	245000	0
Schagen	Noord-Holland	52.788.091	4.804.400	187.28	46016	35700	222000	0
Scherpenzeel	Gelderland	52.078.930	5.488.065	13.81	9496	37100	265000	0
Schiedam	Zuid-Holland	51.916.960	4.398.819	19.86	76487	31000	142000	0
Schiermonnikoog	Friesland	53.489.374	6.230.911	199.07	938	30000	250000	0
Schinnen	Limburg	50.943.647	5.879.361	24.12	12961	35900	193000	0
Schouwen-Duiveland	Zeeland	51.680.357	3.952.013	488.21	33821	35300	229000	0
Simpelveld	Limburg	50.832.849	5.987.771	16.02	10844	33300	161000	0
Sint Anthonis	Noord-Brabant	51.627.161	5.885.193	99.76	11696	38900	263000	0
Sint-Michielsgestel	Noord-Brabant	51.641.348	5.352.881	59.34	28186	40300	295000	0
Sittard-Geleen	Limburg	51.003.168	5.823.671	80.53	93806	31800	157000	0
Sliedrecht	Zuid-Holland	51.824.868	4.773.162	14.01	24528	34600	173000	0
Sluis	Zeeland	51.308.656	3.387.919	307.16	23795	33200	181000	0
Smallingerland	Friesland	53.127.729	6.079.345	126.17	55496	31100	168000	0
Soest	Utrecht	52.176.352	5.299.197	46.43	45430	38700	273000	0
Someren	Noord-Brabant	51.384.967	5.712.367	81.5	18700	35700	265000	0
Son en Breugel	Noord-Brabant	51.511.394	5.498.219	26.51	16241	40700	295000	0
Stadskanaal	Groningen	52.991.985	6.946.222	119.94	32793	29200	146000	0
Staphorst	Overijssel	52.642.914	6.199.494	135.69	16365	37800	248000	0
Stede Broec	Noord-Holland	52.699.602	5.232.325	16.37	21474	34800	181000	0
Steenbergen	Noord-Brabant	51.581.240	4.315.599	159.14	23409	35500	202000	0
Steenwijkerland	Overijssel	52.741.538	6.049.324	321.59	43372	32800	196000	0
Stein	Limburg	50.967.974	5.766.220	22.62	25348	34200	180000	0
Stichtse Vecht	Utrecht	52.144.755	5.033.208	106.82	63823	40800	270000	0
Strijen	Zuid-Holland	51.744.684	4.553.920	57.7	8678	37400	222000	0
Súdwest-Fryslân	Friesland	53.023.416	5.481.658	841.56	84258	32500	175000	0
Terneuzen	Zeeland	51.332.285	3.832.426	317.76	54711	33000	157000	0
Terschelling	Friesland	53.397.875	5.346.679	673.99	4769	33300	298000	0
Texel	Noord-Holland	53.054.763	4.797.715	463.16	13566	32400	258000	0
Teylingen	Zuid-Holland	52.222.004	4.513.404	33.49	35723	41400	285000	0
Tholen	Zeeland	51.533.271	4.216.222	254	25398	34100	185000	0
Tiel	Gelderland	51.887.618	5.427.877	34.81	41729	33600	195000	0
Tilburg	Noord-Brabant	51.560.596	5.091.914	119.18	210382	31600	187000	1
Tubbergen	Overijssel	52.408.907	6.785.489	147.44	21216	37700	240000	0
Twenterand	Overijssel	52.450.068	6.620.745	108.14	33939	33700	203000	0
Tynaarlo	Drenthe	53.101.283	6.576.097	147.7	32506	37800	236000	0
Tytsjerksteradiel	Friesland	53.176.038	5.978.680	161.41	31980	33800	192000	0
Uden	Noord-Brabant	51.663.107	5.623.923	67.53	40934	35100	226000	0
Uitgeest	Noord-Holland	52.531.225	4.712.046	22.29	13242	39100	238000	0
Uithoorn	Noord-Holland	52.244.627	4.831.734	19.42	28407	38000	224000	0
Urk	Flevoland	52.663.053	5.598.947	109.91	19487	37900	194000	0
Utrecht	Utrecht	52.090.737	5.121.420	99.21	328577	34300	223000	1
Utrechtse Heuvelrug	Utrecht	52.052.203	5.282.495	134.09	47939	41400	305000	0
Vaals	Limburg	50.773.218	6.011.274	23.87	9682	29100	143000	0
Valkenburg aan de Geul	Limburg	50.868.477	5.826.448	36.92	16668	34000	202000	0
Valkenswaard	Noord-Brabant	51.355.496	5.453.327	56.49	30353	34500	244000	0
Veendam	Groningen	53.106.278	6.875.100	78.68	27795	30500	142000	0
Veenendaal	Utrecht	52.026.301	5.554.431	19.72	63207	34800	210000	0
Veere	Zeeland	51.548.294	3.666.006	206.63	21882	36600	261000	0
Veldhoven	Noord-Brabant	51.417.634	5.406.021	31.93	44136	37300	254000	0
Velsen	Noord-Holland	52.452.059	4.630.587	63.05	67231	35300	222000	0
Venlo	Limburg	51.370.375	6.172.403	128.99	100381	31200	177000	0
Venray	Limburg	51.525.626	5.973.699	165	43120	35100	213000	0
Vianen	Utrecht	51.990.276	5.103.033	42.39	19573	37400	219000	0
Vlaardingen	Zuid-Holland	51.912.067	4.349.437	26.69	71059	31700	164000	0
Vlieland	Friesland	53.250.184	4.951.427	315.8	1097	30600	243000	0
Vlissingen	Zeeland	51.453.667	3.570.912	344.83	44450	30200	153000	0
Voerendaal	Limburg	50.879.153	5.931.160	31.52	12447	36800	206000	0
Voorschoten	Zuid-Holland	52.123.790	4.438.598	11.56	24941	42300	283000	0
Voorst	Gelderland	52.225.271	6.099.050	126.47	23801	37300	261000	0
Vught	Noord-Brabant	51.653.306	5.294.347	34.44	25626	40300	324000	0
Waadhoeke	Friesland	53.184.738	5.531.866					0
Waalre	Noord-Brabant	51.387.833	5.443.202	22.66	16804	43000	302000	0
Waalwijk	Noord-Brabant	51.687.895	5.057.482	67.65	46515	34400	218000	0
Waddinxveen	Zuid-Holland	52.031.297	4.659.132	29.4	25520	37700	207000	0
Wageningen	Gelderland	51.969.187	5.665.395	32.36	37511	33700	244000	1
